"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"18","WBGene00000228","W04D2.1","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: actin","atn-1 is an ortholog of human ACTN1 (actinin alpha 1), ACTN4 (actinin alpha 4), and ACTN3 (actinin alpha 3 (gene\/pseudogene))\; is predicted to have actin binding activity\; localizes to the striated muscle dense body and striated muscle thin filament\; is expressed in several tissues, including the body wall, the muscular system, the pharynx, the reproductive system, and the tail\; human orthologs of this gene are implicated in dilated cardiomyopathy 1AA, focal segmental glomerulosclerosis 1, and platelet-type bleeding disorder 15."
"19","WBGene00000233","R11G10.1","Transmembrane transport","Transmembrane transport: glutamate channel","Transmembrane transport: glutamate channel","avr-15 is an ortholog of human GLRA4 (glycine receptor alpha 4), GLRA3 (glycine receptor alpha 3), and GLRA2 (glycine receptor alpha 2)\; is predicted to have extracellular ligand-gated ion channel activity and transmembrane signaling receptor activity\; is involved in action potential, locomotion involved in locomotory behavior, and regulation of pharyngeal pumping\; is expressed in several tissues, including the alimentary system, the male, and the nervous system\; human orthologs of this gene are implicated in hyperekplexia 1 and hyperekplexia 2."
"20","WBGene00000252","F59E12.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","bli-2 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of collagen and cuticulin-based cuticle\; is involved in collagen and cuticulin-based cuticle development."
"21","WBGene00000255","F45G2.5","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","bli-5 exhibits serine-type endopeptidase activity\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle, protein catabolic process, and vulval development\; is expressed in the excretory cell, the excretory duct, and the vulva."
"22","WBGene00000266","C53B4.7","Stress response","Stress response: pathogen","Stress response: pathogen: unassigned","bre-1 is an ortholog of human GMDS (GDP-mannose 4,6-dehydratase)\; exhibits GDP-mannose 4,6-dehydratase activity\; is involved in GDP-L-fucose biosynthetic process, GDP-mannose metabolic process, and response to toxic substance\; localizes to the endoplasmic reticulum, sarcomere, and striated muscle dense body\; is expressed in the body wall musculature and the nervous system."
"23","WBGene00000395","ZK112.7","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-3 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have structural molecule activity\; is involved in basement membrane disassembly and nematode male tail tip morphogenesis\; localizes to the basement membrane, cytoplasm, and plasma membrane\; is expressed in several tissues, including the epithelial system, the excretory cell, the male, the nervous system, and the reproductive system."
"24","WBGene00000397","F08B4.2","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-5 is an ortholog of human FAT1 (FAT atypical cadherin 1), FAT2 (FAT atypical cadherin 2), and PCDH15 (protocadherin related 15)\; is predicted to have calcium ion binding activity."
"25","WBGene00000399","R05H10.6","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-7 is an ortholog of human FAT1 (FAT atypical cadherin 1) and FAT2 (FAT atypical cadherin 2)\; is predicted to have calcium ion binding activity."
"26","WBGene00000401","F59C12.1","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-9 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB2 (protocadherin beta 2), and PCDHB15 (protocadherin beta 15)\; is predicted to have calcium ion binding activity."
"27","WBGene00000402","C45G7.5","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-10 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have calcium ion binding activity\; is expressed in the K cell, the K' cell, the mc1, the mc2, and the seam cell."
"28","WBGene00000493","F56H1.1","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned","che-14 is an ortholog of human DISP1 and DISP2\; localizes to the apical plasma membrane\; is expressed in the epithelial cell, the epithelial system, the excretory system, the rectum, and the vulva."
"29","WBGene00000497","F48A11.1","Metabolism","Metabolism: amino sugar","Metabolism: amino sugar","chs-2 is predicted to have chitin synthase activity\; is involved in chitin biosynthetic process and positive regulation of nematode larval development\; is expressed in the alimentary system and the digestive tract."
"30","WBGene00000515","T27A10.3","Metabolism","Metabolism: lipid","Metabolism: lipid: phospholipid","ckc-1 is an ortholog of human ETNK2\; is predicted to have kinase activity."
"31","WBGene00000521","C15C8.2","Transcription factor","Transcription factor: bHLH","Transcription factor: bHLH","cky-1 is an ortholog of human NPAS4 (neuronal PAS domain protein 4)\; contributes to sequence-specific DNA binding activity\; is involved in positive regulation of transcription by RNA polymerase II\; localizes to the RNA polymerase II transcription factor complex\; is expressed in the pharyngeal cell."
"32","WBGene00000539","F07B10.1","Lysosome","Lysosome: unassigned","Lysosome: unassigned","cln-3.1 is an ortholog of human cln3\; is involved in determination of adult lifespan and regulation of oviposition\; localizes to the cytoplasm\; is expressed in the alimentary system, the digestive tract, the epithelial system, and the muscle cell\; is used to study neuronal ceroid lipofuscinosis\; human orthologs of this gene are implicated in neuronal ceroid lipofuscinosis 3."
"33","WBGene00000557","R09B5.8","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-3 is enriched in the PLM, the germline precursor cell, the hypodermis, the intestine, and the male based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, dpy-10, and eat-2 based on microarray and RNA-seq studies\; is affected by eleven chemicals including Ethanol, methylmercury hydroxide, and Rotenone based on RNA-seq and microarray studies."
"34","WBGene00000560","Y46E12A.1","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-6 is involved in defense response to fungus and innate immune response\; is expressed in the intestine."
"35","WBGene00000593","W01B6.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-2 is predicted to be a structural constituent of cuticle."
"36","WBGene00000594","T28C6.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-3 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"37","WBGene00000599","B0222.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-10 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"38","WBGene00000601","F15H10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-12 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"39","WBGene00000602","F15H10.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-13 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"40","WBGene00000603","C46A5.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-14 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"41","WBGene00000606","F11G11.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-17 is enriched in the DA neuron, the VA neuron, the germline precursor cell, and the hypodermis based on tiling array and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by twenty-one chemicals including hydrogen sulfide, Nitric Oxide, and methylmercury hydroxide based on microarray and RNA-seq studies."
"42","WBGene00000611","F36A4.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-34 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"43","WBGene00000612","C15A11.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-35 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"44","WBGene00000613","C27H5.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-36 is predicted to be a structural constituent of cuticle."
"45","WBGene00000614","ZK863.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-37 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"46","WBGene00000615","F54C9.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-38 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"47","WBGene00000617","T13B5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-40 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"48","WBGene00000618","T10B10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-41 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis and the vulval precursor cell."
"49","WBGene00000621","F54B11.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-44 is predicted to be a structural constituent of cuticle."
"50","WBGene00000624","Y18H1A.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-47 is enriched in the hypodermis based on RNA-seq studies\; is affected by several genes including alg-1, alg-2, and hpl-2 based on microarray and RNA-seq studies\; is affected by methylmercury hydroxide based on RNA-seq studies\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"51","WBGene00000625","Y54E10BL.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-48 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"52","WBGene00000626","K09H9.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-49 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"53","WBGene00000627","T28F2.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-50 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"54","WBGene00000628","T28F2.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-51 is predicted to be a structural constituent of cuticle."
"55","WBGene00000631","F33D11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-54 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"56","WBGene00000634","F26B1.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-58 is an ortholog of human COL16A1 (collagen type XVI alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"57","WBGene00000637","C01H6.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-61 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"58","WBGene00000641","K08C9.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-65 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"59","WBGene00000647","Y49F6B.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-71 is an ortholog of human COLQ\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"60","WBGene00000648","W09G10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-72 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; human C1QTNF9 exhibits identical protein binding activity."
"61","WBGene00000649","F11G11.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-73 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"62","WBGene00000651","K03H9.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-75 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle."
"63","WBGene00000653","M195.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-77 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"64","WBGene00000655","C09G5.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-79 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"65","WBGene00000656","C09G5.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-80 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"66","WBGene00000659","K12D12.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-84 is an ortholog of human COL1A1 (collagen type I alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"67","WBGene00000660","T21B4.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-85 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"68","WBGene00000665","C29E4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-90 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"69","WBGene00000666","F09G8.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-91 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"70","WBGene00000667","W05B2.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-92 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"71","WBGene00000668","W05B2.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-93 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"72","WBGene00000672","ZK1010.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-97 is predicted to be a structural constituent of cuticle."
"73","WBGene00000674","F29C4.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-99 is an ortholog of human COL13A1 (collagen type XIII alpha 1 chain), COL4A1 (collagen type IV alpha 1 chain), and COL4A5 (collagen type IV alpha 5 chain)\; is predicted to be a structural constituent of cuticle\; localizes to the extracellular region, neuromuscular junction, and spanning component of plasma membrane\; is expressed in the epithelial system, the muscular system, and the nervous system."
"74","WBGene00000676","C18H7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-102 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"75","WBGene00000678","F58F6.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-104 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle."
"76","WBGene00000680","Y77E11A.15","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-106 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"77","WBGene00000681","C34H4.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-107 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"78","WBGene00000683","Y38C1BA.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-109 is predicted to be a structural constituent of cuticle\; is involved in endoplasmic reticulum unfolded protein response."
"79","WBGene00000684","F19C7.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-110 is predicted to be a structural constituent of cuticle."
"80","WBGene00000685","F29B9.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-111 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle."
"81","WBGene00000687","C34D4.15","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-113 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle."
"82","WBGene00000688","D2024.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-114 is predicted to be a structural constituent of cuticle."
"83","WBGene00000689","Y42H9B.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-115 is an ortholog of human COL16A1 (collagen type XVI alpha 1 chain)\; human COL16A1 exhibits integrin binding activity."
"84","WBGene00000692","T11B7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-118 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"85","WBGene00000696","T05A1.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-122 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"86","WBGene00000698","C24F3.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-124 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"87","WBGene00000699","C29F4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-125 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"88","WBGene00000702","F12F6.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-128 is an ortholog of human COL11A1 (collagen type XI alpha 1 chain), COL5A1 (collagen type V alpha 1 chain), and COL5A3 (collagen type V alpha 3 chain)\; human COL5A1 exhibits heparin binding activity, platelet-derived growth factor binding activity, and proteoglycan binding activity."
"89","WBGene00000704","F08G5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-130 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the intestine and the vulva."
"90","WBGene00000705","C39E9.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-131 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"91","WBGene00000707","F52B11.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-133 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"92","WBGene00000711","C52D10.13","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-138 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"93","WBGene00000717","B0222.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-144 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"94","WBGene00000718","B0222.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-145 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"95","WBGene00000719","T06E4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-146 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"96","WBGene00000726","F17C11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-153 is an ortholog of human COL22A1 (collagen type XXII alpha 1 chain), COL27A1 (collagen type XXVII alpha 1 chain), and COLQ\; is predicted to be a structural constituent of cuticle."
"97","WBGene00000728","F55C10.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-155 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"98","WBGene00000729","F57B7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-156 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"99","WBGene00000730","T11F9.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-157 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"100","WBGene00000731","D2023.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-158 is an ortholog of human COLQ\; is predicted to be a structural constituent of cuticle."
"101","WBGene00000732","F57B1.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-159 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"102","WBGene00000734","C50B6.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-161 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"103","WBGene00000735","Y2H9A.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-162 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"104","WBGene00000739","T07H6.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-166 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"105","WBGene00000740","T10E10.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-167 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"106","WBGene00000741","T10E10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-168 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"107","WBGene00000742","T10E10.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-169 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"108","WBGene00000743","T10E10.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-170 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"109","WBGene00000745","F38B6.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-172 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"110","WBGene00000746","F41C6.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-173 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
