"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"11","WBGene00000557","R09B5.8","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-3 is enriched in the PLM, the germline precursor cell, the hypodermis, the intestine, and the male based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, dpy-10, and eat-2 based on microarray and RNA-seq studies\; is affected by eleven chemicals including Ethanol, methylmercury hydroxide, and Rotenone based on RNA-seq and microarray studies."
"12","WBGene00000594","T28C6.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-3 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"13","WBGene00000610","F36A4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-33 is predicted to be a structural constituent of cuticle."
"14","WBGene00000611","F36A4.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-34 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"15","WBGene00000615","F54C9.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-38 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"16","WBGene00000616","C09G5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-39 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"17","WBGene00000617","T13B5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-40 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"18","WBGene00000626","K09H9.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-49 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"19","WBGene00000647","Y49F6B.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-71 is an ortholog of human COLQ\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"20","WBGene00000655","C09G5.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-79 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"21","WBGene00000684","F19C7.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-110 is predicted to be a structural constituent of cuticle."
"22","WBGene00000685","F29B9.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-111 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle."
"23","WBGene00000694","Y11D7A.11","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-120 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"24","WBGene00000705","C39E9.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-131 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"25","WBGene00000711","C52D10.13","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-138 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"26","WBGene00000726","F17C11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-153 is an ortholog of human COL22A1 (collagen type XXII alpha 1 chain), COL27A1 (collagen type XXVII alpha 1 chain), and COLQ\; is predicted to be a structural constituent of cuticle."
"27","WBGene00000729","F57B7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-156 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"28","WBGene00000745","F38B6.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-172 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"29","WBGene00000757","F15A2.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-184 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"30","WBGene00000770","C40H1.1","mRNA functions","mRNA functions: processing","mRNA functions: processing: polyadenylation","cpb-1 is an ortholog of human CPEB3 (cytoplasmic polyadenylation element binding protein 3) and CPEB4 (cytoplasmic polyadenylation element binding protein 4)\; is predicted to have mRNA 3'-UTR binding activity\; is involved in meiotic cell cycle and spermatogenesis\; localizes to the cytoplasm\; is expressed in the germ line."
"31","WBGene00000776","T03E6.7","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: cathepsin","cpl-1 is an ortholog of human CTSL (cathepsin L) and CTSV (cathepsin V)\; is predicted to have cysteine-type peptidase activity\; localizes to the vesicle lumen and yolk granule\; is expressed in several tissues, including the alimentary system, the eggshell, the epithelial system, and the reproductive system\; human orthologs of this gene are implicated in pycnodysostosis."
"32","WBGene00000778","D1069.2","Unassigned","Unassigned","Unassigned","cpn-2 is an ortholog of human CNN3, TAGLN, and TAGLN2\; human TAGLN2 exhibits cadherin binding activity."
"33","WBGene00000786","C25B8.3","Stress response","Stress response: osmotic","Stress response: osmotic","cpr-6 is an ortholog of human CTSB (cathepsin B)\; is predicted to have cysteine-type peptidase activity\; localizes to the lysosome."
"34","WBGene00000788","F32B5.8","Development","Development: general","Development: general","cpz-1 is an ortholog of human CTSZ (cathepsin Z)\; is predicted to have cysteine-type peptidase activity\; is involved in several processes, including animal organ development, ecdysis, collagen and cuticulin-based cuticle, and embryo development\; localizes to the collagen and cuticulin-based cuticle extracellular matrix\; is expressed in several tissues, including the alimentary system, the epithelial system, and the reproductive system."
"35","WBGene00000853","M142.2","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin","cut-6 localizes to the alae of collagen and cuticulin-based cuticle extracellular matrix\; is expressed in the hypodermis."
"36","WBGene00000878","ZK520.5","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","cyn-2 is an ortholog of human PPIA (peptidylprolyl isomerase A), PPIAL4D, and PPIAL4G\; is predicted to have peptidyl-prolyl cis-trans isomerase activity."
"37","WBGene00001062","R10D12.2","Transcription factor","Transcription factor: NHR","Transcription factor: NHR","dpr-1 is predicted to have DNA-binding activity transcription factor activity, sequence-specific DNA binding activity, and zinc ion binding activity."
"38","WBGene00001223","ZK616.10","Unassigned","Unassigned","Unassigned","ehn-3 is predicted to have nucleic acid binding activity\; is involved in gonad development and positive regulation of gene expression\; localizes to the nucleus\; is expressed in the somatic gonad precursor."
"39","WBGene00001242","C40H1.4","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid","elo-4 is an ortholog of human ELOVL3 and ELOVL6\; is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups."
"40","WBGene00001377","C49A1.4","Transcription: chromatin","Transcription: chromatin modification","Transcription: chromatin modification: unassigned","eya-1 is an ortholog of human EYA1 (EYA transcriptional coactivator and phosphatase 1), EYA2 (EYA transcriptional coactivator and phosphatase 2), and EYA4\; is predicted to have protein tyrosine phosphatase activity and transcription coactivator activity\; is involved in several processes, including locomotion, mesodermal cell fate specification, and regulation of programmed cell death\; localizes to the nucleus\; is expressed in the body wall musculature, the intestine, and the pharynx\; human orthologs of this gene are implicated in several diseases, including autosomal dominant nonsyndromic deafness 10, branchiootic syndrome, and branchiootorenal syndrome."
"41","WBGene00001424","F41G3.4","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: morphology","fis-1 is an ortholog of human FIS1 (fission, mitochondrial 1)\; localizes to the mitochondrial outer membrane."
"42","WBGene00001495","F31B12.3","Signaling","Signaling: FERM","Signaling: FERM","frm-9 is an ortholog of human TNKS (tankyrase) and TNKS2 (tankyrase 2)\; human TNKS2 exhibits NAD+ ADP-ribosyltransferase activity and enzyme binding activity."
"43","WBGene00001500","C54F6.14","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned","ftn-1 is an ortholog of human FTH1 (ferritin heavy chain 1), FTHL17 (ferritin heavy chain like 17), and FTMT (ferritin mitochondrial)\; exhibits identical protein binding activity\; is involved in cellular iron ion homeostasis\; is expressed in the intestine and the pharyngeal-intestinal valve\; human orthologs of this gene are implicated in hemochromatosis type 5 and neurodegeneration with brain iron accumulation 3."
"44","WBGene00001605","T25C8.3","Pseudogene","Pseudogene","Pseudogene","gln-4 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including eat-2, npr-1, and pgl-1 based on RNA-seq studies\; is affected by eight chemicals including methylmercuric chloride, manganese chloride, and stavudine based on microarray and RNA-seq studies."
"45","WBGene00001642","T15D6.3","Protein modification","Protein modification: carbohydrate","Protein modification: carbohydrate","gly-17 is an ortholog of human GCNT2 (glucosaminyl (N-acetyl) transferase 2 (I blood group)), GCNT4 (glucosaminyl (N-acetyl) transferase 4), and GCNT7 (glucosaminyl (N-acetyl) transferase 7)\; is predicted to have acetylglucosaminyltransferase activity\; human orthologs of this gene are implicated in cataract 13 with adult i phenotype."
"46","WBGene00001697","C37C3.4","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grd-8 is expressed in the intestine and the nervous system\; is predicted to encode a protein with the following domain: Ground-like domain."
"47","WBGene00001712","K03B8.7","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-3 is expressed in the intestine, the nervous system, and the rectal gland cell\; is predicted to encode a protein with the following domain: Ground-like domain."
"48","WBGene00001714","Y47D7A.5","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-5 is expressed in the hypodermis\; is predicted to encode a protein with the following domain: Ground-like domain."
"49","WBGene00001723","T03D8.4","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-14 is expressed in the arcade cell and the reproductive system\; is predicted to encode a protein with the following domain: Ground-like domain."
"50","WBGene00001875","T10C6.14","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-1 is an ortholog of human HIST1H4B (histone cluster 1 H4 b) and HIST2H4B (histone cluster 2 H4 b)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"51","WBGene00001879","F45F2.3","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-5 is an ortholog of human HIST1H4H (histone cluster 1 H4 h), HIST1H4I (histone cluster 1 H4 i), and HIST1H4K (histone cluster 1 H4 k)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"52","WBGene00001883","ZK131.3","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-9 is predicted to have DNA binding activity and protein heterodimerization activity\; is expressed widely."
"53","WBGene00001907","F17E9.13","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-33 is an ortholog of human HIST2H2AA4 (histone cluster 2 H2A a4), HIST1H2AJ (histone cluster 1 H2A j), and HIST1H2AE (histone cluster 1 H2A e)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"54","WBGene00001912","K03A1.6","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-38 is an ortholog of human HIST1H4H (histone cluster 1 H4 h), HIST1H4I (histone cluster 1 H4 i), and HIST1H4K (histone cluster 1 H4 k)\; is predicted to have DNA binding activity and protein heterodimerization activity\; is involved in positive regulation of transcription by RNA polymerase II."
"55","WBGene00001931","F54E12.5","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-57 is an ortholog of human HIST2H2AA4 (histone cluster 2 H2A a4), HIST1H2AJ (histone cluster 1 H2A j), and HIST1H2AE (histone cluster 1 H2A e)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"56","WBGene00001932","F54E12.4","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-58 is an ortholog of human HIST1H2BF (histone cluster 1 H2B f), HIST3H2BB (histone cluster 3 H2B b), and HIST1H2BB (histone cluster 1 H2B b)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"57","WBGene00001933","F55G1.2","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-59 is predicted to have DNA binding activity and protein heterodimerization activity."
"58","WBGene00001934","F55G1.11","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-60 is an ortholog of human HIST1H4H (histone cluster 1 H4 h), HIST1H4I (histone cluster 1 H4 i), and HIST1H4K (histone cluster 1 H4 k)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"59","WBGene00001935","F55G1.10","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-61 is an ortholog of human HIST2H2AA4 (histone cluster 2 H2A a4), HIST1H2AJ (histone cluster 1 H2A j), and HIST1H2AE (histone cluster 1 H2A e)\; is predicted to have DNA binding activity and protein heterodimerization activity\; is expressed in the intestine and the nervous system."
"60","WBGene00001936","F55G1.3","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-62 is an ortholog of human HIST1H2BF (histone cluster 1 H2B f), HIST3H2BB (histone cluster 3 H2B b), and HIST1H2BB (histone cluster 1 H2B b)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"61","WBGene00001944","E03A3.4","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-70 is an ortholog of human CENPA (centromere protein A), HIST2H3A (histone cluster 2 H3 a), and HIST2H3PS2 (histone cluster 2 H3 pseudogene 2)\; is predicted to have DNA binding activity and protein heterodimerization activity."
"62","WBGene00001967","F31A3.2","Transcription factor","Transcription factor: bHLH","Transcription factor: bHLH","hlh-28 is predicted to have protein dimerization activity\; is expressed in several tissues, including MS, the E, the Ea, the Ep, and the MSa."
"63","WBGene00001976","T05A7.4","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: HMG protein","hmg-11 is predicted to have DNA binding activity\; is expressed in several tissues, including the ABalaaa, the alimentary system, the muscular system, the nervous system, and the reproductive system."
"64","WBGene00002114","T10D4.4","Metabolism","Metabolism: insulin","Metabolism: insulin","ins-31 is predicted to have hormone activity\; is expressed in the coelomocyte and the male gonad."
"65","WBGene00002260","T22G5.6","Metabolism","Metabolism: lipid","Metabolism: lipid: binding","lbp-8 is an ortholog of human FABP3 (fatty acid binding protein 3), FABP4 (fatty acid binding protein 4), and FABP7 (fatty acid binding protein 7)\; is predicted to have lipid binding activity."
"66","WBGene00002993","F59G1.6","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","lin-4 exhibits mRNA 3'-UTR binding activity\; is involved in several processes, including body morphogenesis, negative regulation of macromolecule metabolic process, and regulation of post-embryonic development\; localizes to the polysome\; is expressed in several tissues, including the alimentary system, the hypodermis, the muscular system, the nervous system, and the reproductive system."
"67","WBGene00003039","F56A12.3","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","mir-48 is involved in miRNA mediated inhibition of translation and positive regulation of development, heterochronic\; is expressed in several tissues, including the nervous system, the seam cell, the vulva, and the vulval precursor cell\; is used to study Parkinson's disease."
"68","WBGene00003088","C32C4.6","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","lsy-6 exhibits mRNA 3'-UTR binding activity\; is involved in determination of left\/right asymmetry in nervous system and gene silencing by miRNA\; is expressed in head neurons and tail neurons."
"69","WBGene00003098","C54C8.6","Proteolysis general","Proteolysis general: lysozyme","Proteolysis general: lysozyme","lys-9 is enriched in the NSM based on tiling array studies\; is affected by several genes including lin-4, lin-14, and dpy-27 based on RNA-seq and microarray studies\; is affected by five chemicals including tryptophan, Mercuric Chloride, and Atrazine based on microarray studies\; is predicted to encode a protein with the following domain: Glycoside hydrolase superfamily."
"70","WBGene00003361","C06H2.8","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","mir-268 is expressed in head neurons, somatic neurons, and tail neurons."
"71","WBGene00003362","T21D12.13","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","mir-269 is expressed in head neurons."
"72","WBGene00003364","C04F6.6","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","N.A."
"73","WBGene00003365","Y41C4A.20","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","N.A."
"74","WBGene00003366","E01F3.2","Non-coding RNA","Non-coding RNA: miRNA","Non-coding RNA: miRNA","mir-273 exhibits translation repressor activity, mRNA regulatory element binding activity\; is involved in asymmetric protein localization involved in cell fate determination, gene silencing by miRNA, and neuroblast fate determination\; is expressed in the ASEL and the ASER."
"75","WBGene00003465","T13F2.11","Major sperm protein","Major sperm protein","Major sperm protein","msp-78 is expressed in the reproductive system\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
"76","WBGene00003466","T13F2.10","Major sperm protein","Major sperm protein","Major sperm protein","msp-79 is expressed in the reproductive system\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
"77","WBGene00003467","K07F5.1","Major sperm protein","Major sperm protein","Major sperm protein","msp-81 is expressed in the reproductive system\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
"78","WBGene00003468","ZK354.4","Major sperm protein","Major sperm protein","Major sperm protein","msp-113 is expressed in the reproductive system\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
"79","WBGene00003469","K05F1.2","Major sperm protein","Major sperm protein","Major sperm protein","msp-142 is expressed in the reproductive system\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
"80","WBGene00003536","K03B8.2","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","nas-17 is predicted to have metalloendopeptidase activity and zinc ion binding activity."
"81","WBGene00003556","F54B8.13","Pseudogene","Pseudogene","Pseudogene","nas-40 is enriched in the male based on RNA-seq studies\; is affected by Zidovudine based on RNA-seq studies."
"82","WBGene00003601","C32F10.6","Transcription factor","Transcription factor: NHR","Transcription factor: NHR","nhr-2 is an ortholog of human NR5A1 (nuclear receptor subfamily 5 group A member 1) and NR5A2 (nuclear receptor subfamily 5 group A member 2)\; is predicted to have DNA-binding activity transcription factor activity, sequence-specific DNA binding activity, and zinc ion binding activity\; localizes to the nucleus\; is expressed in several tissues, including MS, the ABa, the ABal, the germline blastomere, and the somatic blastomere\; human orthologs of this gene are implicated in 46 XY gonadal dysgenesis, male infertility (multiple), and premature ovarian failure."
"83","WBGene00003662","C17A2.8","Transcription factor","Transcription factor: NHR","Transcription factor: NHR","nhr-72 is predicted to have DNA-binding activity transcription factor activity, sequence-specific DNA binding activity, and zinc ion binding activity\; is expressed in the seam cell."
"84","WBGene00003671","C47F8.8","Transcription factor","Transcription factor: NHR","Transcription factor: NHR","nhr-81 is predicted to have DNA-binding activity transcription factor activity, sequence-specific DNA binding activity, and zinc ion binding activity\; is expressed in the seam cell."
"85","WBGene00003701","F44G3.9","Transcription factor","Transcription factor: NHR","Transcription factor: NHR","nhr-111 is an ortholog of human NR2E3 (nuclear receptor subfamily 2 group E member 3)\; is predicted to have several functions, including regulation of cellular process, sequence-specific DNA binding activity, and zinc ion binding activity\; is expressed in the alimentary system, the digestive tract, the nervous system, and the somatic gonad precursor."
"86","WBGene00003937","K07C11.1","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","pax-1 is an ortholog of human PAX1 (paired box 1) and PAX9 (paired box 9)\; is predicted to have DNA binding activity\; is expressed in the V cell, the epithelial cell, the epithelial system, and the pharynx\; human orthologs of this gene are implicated in tooth agenesis."
"87","WBGene00003983","Y46G5A.27","Unassigned","Unassigned","Unassigned","pes-10 localizes to the cytoplasm and nucleus\; is expressed in EMS, the ABa, and the ABp."
"88","WBGene00004026","T20B3.7","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","phy-3 is an ortholog of human P4HTM\; is predicted to have L-ascorbic acid binding activity, iron ion binding activity, and oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen\; is expressed in the spermatheca."
"89","WBGene00004107","C24B5.5","Unassigned","Unassigned","Unassigned: prion domain","pqn-16 is affected by clk-1 and lin-35 based on microarray studies\; is affected by fluoranthene based on microarray studies."
"90","WBGene00004127","F52D1.3","Unassigned","Unassigned","Unassigned: prion domain","abu-12 is enriched in the OLL, the PVD, and the hypodermis based on microarray and tiling array studies\; is affected by several genes including daf-16, daf-12, and dpy-10 based on microarray, tiling array, and RNA-seq studies\; is affected by eleven chemicals including hydrogen sulfide, methylmercury hydroxide, and 1-methylnicotinamide based on microarray and RNA-seq studies."
"91","WBGene00004139","R09B5.5","Unassigned","Unassigned","Unassigned: prion domain","pqn-54 is enriched in the DA neuron and the pharynx based on microarray studies\; is affected by several genes including daf-16, glp-1, and skn-1 based on microarray, tiling array, and RNA-seq studies\; is affected by twenty chemicals including hydrogen sulfide, Ethanol, and methylmercury hydroxide based on microarray and RNA-seq studies."
"92","WBGene00004156","W02A2.3","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","pqn-74 is predicted to have chitin binding activity\; is involved in endoplasmic reticulum unfolded protein response."
"93","WBGene00004159","Y105C5A.5","Unassigned","Unassigned","Unassigned: prion domain","pqn-78 is affected by several genes including clk-1, sir-2.1, and cyc-1 based on microarray, tiling array, and RNA-seq studies\; is affected by aldicarb, Neurotoxins, and resveratrol based on microarray studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF1096."
"94","WBGene00004168","Y71G12B.21","Unassigned","Unassigned","Unassigned: prion domain","pqn-88 is affected by several genes including daf-2, hsf-1, and clk-1 based on microarray and RNA-seq studies\; is affected by hydrogen sulfide and Colistin based on microarray studies."
"95","WBGene00004287","K03D3.10","Signaling","Signaling: small GTPase","Signaling: small GTPase: Rho/Rac","rac-2 is an ortholog of human RAC1 (Rac family small GTPase 1) and RAC2 (Rac family small GTPase 2)\; exhibits GTP binding activity and GTPase activity\; is involved in several processes, including actin filament organization, actin filament organization, and generation of neurons\; localizes to the axon and plasma membrane\; is expressed in the nerve ring and the nervous system."
"96","WBGene00004351","F52D2.2","Signaling","Signaling: heteromeric G protein","Signaling: heteromeric G protein: unassigned","rgs-8.1 is enriched in the germ line based on RNA-seq studies\; is affected by several genes including daf-16, dpy-10, and gld-1 based on microarray and RNA-seq studies\; is affected by hydrogen sulfide, paraquat, and Sirolimus based on microarray studies\; is predicted to encode a protein with the following domains: RGS domain, RGS, subdomain 1\/3, Regulator of G-protein signalling 13, and RGS domain superfamily."
"97","WBGene00004507","C18H9.7","Unassigned","Unassigned","Unassigned","rpy-1 is an ortholog of human RAPSN (receptor associated protein of the synapse)\; is predicted to have acetylcholine receptor binding activity, metal ion binding activity, and protein membrane anchor\; is expressed in several tissues, including the muscular system, the nervous system, and the reproductive system\; human orthologs of this gene are implicated in congenital myasthenic syndrome 11."
"98","WBGene00004708","C04C11.t1","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA","N.A."
"99","WBGene00004716","K06G5.t1","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA","N.A."
"100","WBGene00004717","Y40C5A.t1","Non-coding RNA","Non-coding RNA: tRNA","Non-coding RNA: tRNA","N.A."
"101","WBGene00004750","F19B10.9","Transcription factor","Transcription factor: T box","Transcription factor: T box","sea-1 is an ortholog of human TBX2 (T-box 2), TBX4 (T-box 4), and TBX21 (T-box 21)\; exhibits RNA polymerase II regulatory region sequence-specific DNA binding activity\; is involved in dosage compensation by hypoactivation of X chromosome, positive regulation of transcription by RNA polymerase II, and sex determination\; localizes to the nucleus\; is expressed in several tissues, including the ABalaaa, the ABalaap, the ABalapa, the head, and the nervous system."
"102","WBGene00004817","F13A7.9","Pseudogene","Pseudogene","Pseudogene","skr-11 is enriched in the germ line based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and dpy-10 based on microarray, tiling array, and RNA-seq studies\; is affected by seven chemicals including Lithium Chloride, stavudine, and Atrazine based on microarray and RNA-seq studies."
"103","WBGene00004821","F54D10.1","Proteolysis proteasome","Proteolysis proteasome: E3","Proteolysis proteasome: E3: SCF","skr-15 is an ortholog of human CTD-2410N18.5 and SKP1 (S-phase kinase associated protein 1)\; is predicted to have ligase activity."
"104","WBGene00004848","B0280.15","Non-coding RNA","Non-coding RNA: snRNA","Non-coding RNA: snRNA","sls-2.16 is affected by clk-1 based on microarray studies\; is affected by multi-walled carbon nanotube based on RNA-seq studies."
"105","WBGene00004849","ZK354.12","Non-coding RNA","Non-coding RNA: snRNA","Non-coding RNA: snRNA","sls-2.17 is enriched in the germ line based on RNA-seq studies\; is affected by clk-1 based on microarray studies."
"106","WBGene00004851","F36H12.20","Pseudogene","Pseudogene","Pseudogene","N.A."
