"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"18","WBGene00000395","ZK112.7","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-3 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have structural molecule activity\; is involved in basement membrane disassembly and nematode male tail tip morphogenesis\; localizes to the basement membrane, cytoplasm, and plasma membrane\; is expressed in several tissues, including the epithelial system, the excretory cell, the male, the nervous system, and the reproductive system."
"19","WBGene00000397","F08B4.2","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-5 is an ortholog of human FAT1 (FAT atypical cadherin 1), FAT2 (FAT atypical cadherin 2), and PCDH15 (protocadherin related 15)\; is predicted to have calcium ion binding activity."
"20","WBGene00000487","C23H5.7","Transmembrane transport","Transmembrane transport: nucleotide gated channel","Transmembrane transport: nucleotide gated channel","che-6 is an ortholog of human CNGA4, CNGA1 (cyclic nucleotide gated channel alpha 1), and CNGA2 (cyclic nucleotide gated channel alpha 2)\; is predicted to have ion channel activity\; localizes to the neuronal cell body\; is expressed in the ASEL, the ASER, the AWCL, and the AWCR."
"21","WBGene00000493","F56H1.1","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned","che-14 is an ortholog of human DISP1 and DISP2\; localizes to the apical plasma membrane\; is expressed in the epithelial cell, the epithelial system, the excretory system, the rectum, and the vulva."
"22","WBGene00000542","C06G4.2","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: calpain","clp-1 is an ortholog of human CAPN1 (calpain 1), CAPN11 (calpain 11), and CAPN3 (calpain 3)\; is predicted to have calcium-dependent cysteine-type endopeptidase activity\; is involved in several processes, including mitochondrion organization, muscle cell cellular homeostasis, and positive regulation of necrotic cell death\; localizes to the M band\; is expressed in several tissues, including the alimentary system, the hypodermis, the nervous system, and the reproductive system\; is used to study Duchenne muscular dystrophy and hereditary spastic paraplegia\; human orthologs of this gene are implicated in autosomal recessive limb-girdle muscular dystrophy type 2A."
"23","WBGene00000557","R09B5.8","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-3 is enriched in the PLM, the germline precursor cell, the hypodermis, the intestine, and the male based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, dpy-10, and eat-2 based on microarray and RNA-seq studies\; is affected by eleven chemicals including Ethanol, methylmercury hydroxide, and Rotenone based on RNA-seq and microarray studies."
"24","WBGene00000560","Y46E12A.1","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-6 is involved in defense response to fungus and innate immune response\; is expressed in the intestine."
"25","WBGene00000593","W01B6.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-2 is predicted to be a structural constituent of cuticle."
"26","WBGene00000602","F15H10.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-13 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"27","WBGene00000606","F11G11.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-17 is enriched in the DA neuron, the VA neuron, the germline precursor cell, and the hypodermis based on tiling array and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by twenty-one chemicals including hydrogen sulfide, Nitric Oxide, and methylmercury hydroxide based on microarray and RNA-seq studies."
"28","WBGene00000610","F36A4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-33 is predicted to be a structural constituent of cuticle."
"29","WBGene00000612","C15A11.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-35 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"30","WBGene00000613","C27H5.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-36 is predicted to be a structural constituent of cuticle."
"31","WBGene00000614","ZK863.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-37 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"32","WBGene00000615","F54C9.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-38 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"33","WBGene00000617","T13B5.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-40 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"34","WBGene00000618","T10B10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-41 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis and the vulval precursor cell."
"35","WBGene00000620","ZC513.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-43 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"36","WBGene00000621","F54B11.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-44 is predicted to be a structural constituent of cuticle."
"37","WBGene00000622","F53G12.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-45 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"38","WBGene00000626","K09H9.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-49 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"39","WBGene00000627","T28F2.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-50 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"40","WBGene00000628","T28F2.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-51 is predicted to be a structural constituent of cuticle."
"41","WBGene00000631","F33D11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-54 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"42","WBGene00000639","ZK265.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-63 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"43","WBGene00000647","Y49F6B.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-71 is an ortholog of human COLQ\; is predicted to be a structural constituent of cuticle\; is expressed in the hyp7 syncytium and the seam cell."
"44","WBGene00000648","W09G10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-72 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; human C1QTNF9 exhibits identical protein binding activity."
"45","WBGene00000649","F11G11.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-73 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"46","WBGene00000653","M195.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-77 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"47","WBGene00000655","C09G5.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-79 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"48","WBGene00000657","F38A3.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-81 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"49","WBGene00000659","K12D12.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-84 is an ortholog of human COL1A1 (collagen type I alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"50","WBGene00000660","T21B4.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-85 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"51","WBGene00000662","Y39G8C.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-87 is an ortholog of human COL24A1 (collagen type XXIV alpha 1 chain)\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"52","WBGene00000665","C29E4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-90 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"53","WBGene00000674","F29C4.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-99 is an ortholog of human COL13A1 (collagen type XIII alpha 1 chain), COL4A1 (collagen type IV alpha 1 chain), and COL4A5 (collagen type IV alpha 5 chain)\; is predicted to be a structural constituent of cuticle\; localizes to the extracellular region, neuromuscular junction, and spanning component of plasma membrane\; is expressed in the epithelial system, the muscular system, and the nervous system."
"54","WBGene00000676","C18H7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-102 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"55","WBGene00000682","Y41D4A.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-108 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"56","WBGene00000684","F19C7.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-110 is predicted to be a structural constituent of cuticle."
"57","WBGene00000688","D2024.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-114 is predicted to be a structural constituent of cuticle."
"58","WBGene00000689","Y42H9B.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-115 is an ortholog of human COL16A1 (collagen type XVI alpha 1 chain)\; human COL16A1 exhibits integrin binding activity."
"59","WBGene00000690","F17E9.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-116 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"60","WBGene00000697","W08D2.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-123 is an ortholog of human COL16A1 (collagen type XVI alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"61","WBGene00000699","C29F4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-125 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"62","WBGene00000705","C39E9.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-131 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"63","WBGene00000707","F52B11.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-133 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"64","WBGene00000711","C52D10.13","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-138 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"65","WBGene00000712","F41F3.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-139 is predicted to be a structural constituent of cuticle."
"66","WBGene00000716","T15B7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-143 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"67","WBGene00000718","B0222.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-145 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"68","WBGene00000723","B0024.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-150 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"69","WBGene00000724","AC3.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-151 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"70","WBGene00000726","F17C11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-153 is an ortholog of human COL22A1 (collagen type XXII alpha 1 chain), COL27A1 (collagen type XXVII alpha 1 chain), and COLQ\; is predicted to be a structural constituent of cuticle."
"71","WBGene00000728","F55C10.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-155 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"72","WBGene00000729","F57B7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-156 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"73","WBGene00000730","T11F9.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-157 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"74","WBGene00000731","D2023.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-158 is an ortholog of human COLQ\; is predicted to be a structural constituent of cuticle."
"75","WBGene00000734","C50B6.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-161 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"76","WBGene00000736","F46B3.17","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-163 is affected by several genes including daf-16, daf-12, and hsf-1 based on tiling array, RNA-seq, and microarray studies\; is affected by methylmercuric chloride based on microarray studies."
"77","WBGene00000737","T21D9.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-164 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"78","WBGene00000743","T10E10.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-170 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"79","WBGene00000744","T10E10.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-171 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"80","WBGene00000751","C34F6.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-178 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is expressed widely."
"81","WBGene00000756","F02D10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-183 is predicted to be a structural constituent of cuticle."
"82","WBGene00000758","H06A10.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-185 is predicted to be a structural constituent of cuticle."
"83","WBGene00000775","F38E11.3","Metabolism","Metabolism: nucleotide","Metabolism: nucleotide","cpin-1 is an ortholog of human GDA\; is predicted to have hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds."
"84","WBGene00000776","T03E6.7","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: cathepsin","cpl-1 is an ortholog of human CTSL (cathepsin L) and CTSV (cathepsin V)\; is predicted to have cysteine-type peptidase activity\; localizes to the vesicle lumen and yolk granule\; is expressed in several tissues, including the alimentary system, the eggshell, the epithelial system, and the reproductive system\; human orthologs of this gene are implicated in pycnodysostosis."
"85","WBGene00000778","D1069.2","Unassigned","Unassigned","Unassigned","cpn-2 is an ortholog of human CNN3, TAGLN, and TAGLN2\; human TAGLN2 exhibits cadherin binding activity."
"86","WBGene00000786","C25B8.3","Stress response","Stress response: osmotic","Stress response: osmotic","cpr-6 is an ortholog of human CTSB (cathepsin B)\; is predicted to have cysteine-type peptidase activity\; localizes to the lysosome."
"87","WBGene00000788","F32B5.8","Development","Development: general","Development: general","cpz-1 is an ortholog of human CTSZ (cathepsin Z)\; is predicted to have cysteine-type peptidase activity\; is involved in several processes, including animal organ development, ecdysis, collagen and cuticulin-based cuticle, and embryo development\; localizes to the collagen and cuticulin-based cuticle extracellular matrix\; is expressed in several tissues, including the alimentary system, the epithelial system, and the reproductive system."
"88","WBGene00000851","C47G2.1","Extracellular material","Extracellular material: cuticlin","Extracellular material: cuticlin","cut-1 is predicted to be a structural constituent of cuticle\; localizes to the collagen and cuticulin-based cuticle extracellular matrix\; is expressed in the seam cell."
"89","WBGene00000878","ZK520.5","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","cyn-2 is an ortholog of human PPIA (peptidylprolyl isomerase A), PPIAL4D, and PPIAL4G\; is predicted to have peptidyl-prolyl cis-trans isomerase activity."
"90","WBGene00000893","ZC250.1","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","cyn-17 is predicted to have peptidyl-prolyl cis-trans isomerase activity."
"91","WBGene00000902","F31F6.5","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","daf-6 is an ortholog of human PTCHD1 and PTCHD4\; is involved in several processes, including anatomical structure morphogenesis, molting cycle, and negative regulation of transcription by RNA polymerase II\; localizes to the cytoplasmic vesicle and plasma membrane\; is expressed in several tissues, including the alimentary system, the epithelial system, the excretory system, the nervous system, and the reproductive system."
"92","WBGene00000905","T13C5.1","Metabolism","Metabolism: lipid","Metabolism: lipid: sterol","daf-9 is an ortholog of human CYP2J2 (cytochrome P450 family 2 subfamily J member 2), CYP2R1 (cytochrome P450 family 2 subfamily R member 1), and CYP2U1 (cytochrome P450 family 2 subfamily U member 1)\; is predicted to have heme binding activity, iron ion binding activity, and oxidoreductase activity\; is involved in cell-cell signaling, dauer larval development, and regulation of cell migration\; localizes to the neuronal cell body and perinuclear region of cytoplasm\; is expressed in several tissues, including the excretory cell, the head, the hypodermis, and the reproductive system\; human orthologs of this gene are implicated in hereditary spastic paraplegia 56, lung cancer, and rickets."
"93","WBGene00000908","F11A1.3","Stress response","Stress response: dauer","Stress response: dauer","daf-12 is an ortholog of human THRB (thyroid hormone receptor beta), NR1H2, and NR1I3 (nuclear receptor subfamily 1 group I member 3)\; exhibits several functions, including monocarboxylic acid binding activity, nuclear receptor activity, and sequence-specific DNA binding activity\; is involved in several processes, including chemotaxis to cAMP, dauer larval development, and detection of chemical stimulus\; localizes to the nucleus\; is expressed in several tissues, including the alimentary system, the hyp7 precursor cell, the reproductive system, the ventral cord blast cell, and the vulval precursor cell."
"94","WBGene00001064","T14B4.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-2 is an ortholog of human COL5A1 (collagen type V alpha 1 chain), MARCO, and COL11A1 (collagen type XI alpha 1 chain)\; is predicted to be a structural constituent of collagen and cuticulin-based cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle, post-embryonic body morphogenesis, and regulation of growth\; is expressed in head neurons and the pharynx."
"95","WBGene00001065","EGAP7.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-3 is an ortholog of human OTOL1, C1QTNF7 (C1q and TNF related 7), and C1QTNF9 (C1q and TNF related 9)\; is predicted to be a structural constituent of cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle."
"96","WBGene00001066","Y41E3.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-4 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle."
"97","WBGene00001067","F27C1.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-5 is an ortholog of human SFTPD (surfactant protein D)\; is a structural constituent of collagen and cuticulin-based cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle, post-embryonic body morphogenesis, and regulation of growth\; localizes to the collagen and cuticulin-based cuticle extracellular matrix\; is expressed in the hypodermis."
"98","WBGene00001069","F46C8.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-7 is an ortholog of human COL22A1 (collagen type XXII alpha 1 chain), COL27A1 (collagen type XXVII alpha 1 chain), and SFTPD (surfactant protein D)\; is a structural constituent of collagen and cuticulin-based cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle and post-embryonic body morphogenesis\; localizes to the annular furrow extracellular matrix\; is expressed in the epithelial system and the ventral cord blast cell."
"99","WBGene00001070","C31H2.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-8 is predicted to be a structural constituent of cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle."
"100","WBGene00001071","T21D12.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","dpy-9 is predicted to be a structural constituent of cuticle."
"101","WBGene00001428","C05C8.3","Chaperone","Chaperone: cyclophilin","Chaperone: cyclophilin","fkb-3 is an ortholog of human FKBP10 (FKBP prolyl isomerase 10) and FKBP9 (FKBP prolyl isomerase 9)\; is predicted to have peptidyl-prolyl cis-trans isomerase activity\; is expressed in the hypodermis."
"102","WBGene00001623","Y53C12A.2","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","glt-5 is an ortholog of human SLC1A2 (solute carrier family 1 member 2)\; is predicted to have symporter activity\; is expressed in the pharynx."
"103","WBGene00001693","T01B10.1","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grd-4 is enriched in dopaminergic neurons and the hypodermis based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and rrf-3 based on microarray, tiling array, and RNA-seq studies\; is affected by seventeen chemicals including cholesterol, lathosterol, and methylmercuric chloride based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Ground-like domain."
"104","WBGene00001696","F46H5.6","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grd-7 is predicted to have signaling receptor binding activity\; is expressed in the nervous system and the seam cell."
"105","WBGene00001714","Y47D7A.5","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-5 is expressed in the hypodermis\; is predicted to encode a protein with the following domain: Ground-like domain."
"106","WBGene00001721","F28A12.2","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-12 is expressed in the AMsoL and the AMsoR\; is predicted to encode a protein with the following domain: Ground-like domain."
"107","WBGene00001723","T03D8.4","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-14 is expressed in the arcade cell and the reproductive system\; is predicted to encode a protein with the following domain: Ground-like domain."
"108","WBGene00001726","C56A3.1","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-17 is expressed in several tissues, including the alimentary system, the epithelial system, and the head\; is predicted to encode a protein with the following domain: Ground-like domain."
"109","WBGene00001730","ZC168.5","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-21 is expressed in the arcade cell and the hypodermis\; is predicted to encode a protein with the following domain: Ground-like domain."
